TERMS
ALGORITHM
ANOMALY
CLASSIFICATION
CLUSTERING
CORRELATION
CYBERNETIC
DATA
DATABASE
ENGINEERING
EXTRACT
FORECAST
LEARNING
LOAD
MACHINE
MINING
NORMALIZE
ORGANISM
OUTLIER
OVERFITTING
QUANTITATIVE
REGRESSION
REPLICANT
SAMPLE
SCIENTIST
STATISTICS
SUPERVISED
TERMINATED
TRANSFORM
TYRELL
UNICORN
UNSUPERVISED
VISUALIZATION
